conference,h5_index,core_rank,era_rank,qualis_rank,deadline,notification,start,end,location,name,topics
ICSOFT,12.0,B,B,B4,23-Feb,,,,,International Conference on Software and Data Technologies,"Agile Development 
 Architectural Design, Refactoring and Patterns 
 Automated Software Engineering 
 Change and Configuration Management 
 Continuous Delivery/Integration 
 Data-Driven Software Engineering 
 Empirical Software Engineering 
 Formal Methods 
 Mobile and Cross Platform Development 
 Model-Driven Software Engineering 
 Open Source Development 
 People Management 
 Process Modeling 
 Programming Frameworks and Platforms 
 Project Management 
 Quality Management 
 Requirements Engineering 
 Software Engineering Tools 
 Software Development Lifecycle 
 Software and Systems Modeling 
 Risk Management 
 Software Project Planning and Tracking 
 Testing and Testability 
 User-Centered Design 
 Agent and Multi-Agent Systems 
 Ambient Intelligence and Digital Ecosystems 
 Application Software 
 Artificial Intelligence Applications 
 Complex Systems 
 Cyber-Physical Systems 
 Data Mining and Data Analysis 
 Decision Support Systems 
 Embedded Systems 
 Enterprise Systems and Applications 
 Government Systems and Applications 
 Mobile Apps 
 Real-Time Systems 
 Robotics and Autonomous Systems 
 Social Systems and Applications 
 Software Product Line 
 System Software 
 Web Systems and Applications 
 Big Data and Data Science 
 Cloud Computing 
 Cybersecurity Technologies 
 Digital Divide Technology Factors 
 High Performance Computing 
 Image Processing and Computer Vision 
 Information Age and Digital Revolution 
 Internet of Things 
 Mobile Technologies 
 Natural Language Technologies 
 Network and Data Communications 
 Software as a Service 
 Web Technologies"
ICBDA,,,,,30-Nov,,,,,International Conference on Big Data Analytics,"Big Data Models and Algorithms 
 Foundational Models for Big Data 
 Algorithms and Programming Techniques for Big Data Processing 
 Big Data Analytics and Metrics 
 Representation Formats for Multimedia Big Data 
 Big Data Architectures 
 Cloud Computing Techniques for Big Data 
 Big Data as a Service 
 Big Data Open Platforms 
 Big Data in Mobile and Pervasive Computing 
 Big Data Management 
 Big Data Persistence and Preservation 
 Big Data Quality and Provenance Control 
 Management Issues of Social Network Big Data 
 Big Data Protection, Integrity and Privacy 
 Models and Languages for Big Data Protection 
 Privacy Preserving Big Data Analytics 
 Big Data Encryption 
 Security Applications of Big Data 
 Anomaly Detection in Very Large Scale Systems 
 Collaborative Threat Detection using Big Data Analytics 
 Big Data Search and Mining 
 Algorithms and Systems for Big Data Search 
 Distributed, and Peer-to-peer Search 
 Machine learning based on Big Data 
 Visualization Analytics for Big Data 
 Big Data for Enterprise, Government and Society 
 Big Data Economics 
 Real-life Case Studies of Value Creation through Big Data Analytics 
 Big Data for Business Model Innovation 
 Big Data Toolkits 
 Big Data in Business Performance Management 
 SME-centric Big Data Analytics 
 Big Data for Vertical Industries (including Government, Healthcare, and Environment) 
 Scientific Applications of Big Data 
 Large-scale Social Media and Recommendation Systems 
 Experiences with Big Data Project Deployments 
 Big Data in Enterprise Management Models and Practices 
 Big Data in Government Management Models and Practices 
 Big Data in Smart Planet Solutions 
 Big Data for Enterprise Transformation 
 Blockchain 
 Blockchain based lightweight data structures for IoT data 
 Blockchain based IoT security solutions 
 Blockchain in cyber physical systems 
 Blockchain in social networking 
 Bolckchain in crowdsourcing and crowdsensing 
 Blockchain in 5G 
 Blockchain in edge and cloud computing 
 Blockchain and trust management"
BIGDATA,52.0,B,,,3-Sep,,,,,International Conference on Big Data,"Big Data Science and Foundations 
 Novel Theoretical Models for Big Data 
 New Computational Models for Big Data 
 Data and Information Quality for Big Data 
 New Data Standards 
 Big Data Infrastructure 
 Cloud/Grid/Stream Computing for Big Data 
 High Performance/Parallel Computing Platforms for Big Data 
 Autonomic Computing and Cyber-infrastructure, System Architectures, Design and Deployment 
 Energy-efficient Computing for Big Data 
 Programming Models and Environments for Cluster, Cloud, and Grid Computing to Support Big Data 
 Software Techniques and Architectures in Cloud/Grid/Stream Computing 
 Big Data Open Platforms 
 New Programming Models for Big Data beyond Hadoop/MapReduce, STORM 
 Software Systems to Support Big Data Computing 
 Big Data Management 
 Search and Mining of variety of data including scientific and engineering, social, sensor/IoT/IoE, and multimedia data 
 Algorithms and Systems for Big Data Search 
 Distributed, and Peer-to-peer Search 
 Big Data Search Architectures, Scalability and Efficiency 
 Data Acquisition, Integration, Cleaning, and Best Practices 
 Visualization Analytics for Big Data 
 Computational Modeling and Data Integration 
 Large-scale Recommendation Systems and Social Media Systems 
 Cloud/Grid/Stream Data Mining- Big Velocity Data 
 Link and Graph Mining 
 Semantic-based Data Mining and Data Pre-processing 
 Mobility and Big Data 
 Multimedia and Multi-structured Data- Big Variety Data 
 Big Data Search and Mining 
 Social Web Search and Mining 
 Web Search 
 Algorithms and Systems for Big Data Search 
 Distributed, and Peer-to-peer Search 
 Big Data Search Architectures, Scalability and Efficiency 
 Data Acquisition, Integration, Cleaning, and Best Practices 
 Visualization Analytics for Big Data 
 Computational Modeling and Data Integration 
 Large-scale Recommendation Systems and Social Media Systems 
 Cloud/Grid/StreamData Mining- Big Velocity Data 
 Link and Graph Mining 
 Semantic-based Data Mining and Data Pre-processing 
 Mobility and Big Data 
 Multimedia and Multi-structured Data-Big Variety Data 
 Big Data Learning and Analytics 
 Predictive analytics on Big Data 
 Machine learning algorithms for Big Data 
 Deep learning for Big Data 
 Feature representation learning for Big Data 
 Dimension redution for Big Data 
 Physics informed Big Data learning 
 Data Ecosystem 
 Data ecosystem concepts, theory, structure, and process 
 Ecosystem services and management 
 Methods for data exchange, monetization, and pricing 
 Trust, resilience, privacy, and security issues 
 Privacy preserving Big Data collection/analytics 
 Trust management in Big Data systems 
 Ecosystem assessment, valuation, and sustainability 
 Experimental studies of fairness, diversity, accountability, and transparency 
 Big Data Applications 
 Complex Big Data Applications in Science, Engineering, Medicine, Healthcare, Finance, Business, Law, Education, Transportation, Retailing, Telecommunication 
 Big Data Analytics in Small Business Enterprises (SMEs) 
 Big Data Analytics in Government, Public Sector and Society in General 
 Real-life Case Studies of Value Creation through Big Data Analytics 
 Big Data as a Service 
 Big Data Industry Standards 
 Experiences with Big Data Project Deployments"
CRYPTO,55.0,A*,A,A1,16-Feb,,,,,Crypto,"foundational theory and mathematics 
 the design, proposal, and analysis of cryptographic primitives and protocols 
 secure implementation and optimization in hardware or software 
 applied aspects of cryptography"
EUROCRYPT,59.0,A*,A,A1,6-Oct,,,,,International Conference on the Theory and Applications of Cryptology and Information Security,"foundational theory and mathematics 
 the design, proposal, and analysis of cryptographic primitives and protocols 
 secure implementation and optimization in hardware or software 
 applied aspects of cryptography"
ICASSP,110.0,B,,A1,26-Oct,,,,,"International Conference on Acoustics, Speech, & Signal Processing","Applied Signal Processing Systems 
 Audio & Acoustic Signal Processing 
 Biomedical Imaging & Signal Processing 
 Compressive Sensing, Sparse Modeling 
 Computational Imaging 
 Computer Vision 
 Deep Learning/Machine Learning for Signal Processing 
 Image, Video & Multidimensional Signal Processing 
 Industrial Signal Processing 
 Information Forensics & Security 
 Internet of Things 
 Multimedia Signal Processing 
 Quantum Signal Processing 
 Remote Sensing & Signal Processing 
 Sensor Array & Multichannel SP 
 Signal Processing for Big Data 
 Signal Processing for Communication 
 Signal Processing for Cyber Security 
 Signal Processing for Education 
 Signal Processing for Robotics 
 Signal Processing Over Graphs 
 Signal Processing Theory & Methods 
 Speech and Language Processing"
INTERSPEECH,100.0,A,A,A1,1-Mar,,,,,Conference of the International Speech Communication Association,"Speech Perception, Production and Acquisition 
 Speech Synthesis 
 Phonetics, Phonology, and Prosody 
 Spoken Language Generation 
 Paralinguistics in Speech and Language 
 Automatic Speech Recognition 
 Analysis of Conversation 
 Spoken Dialogue and Conversational AI Systems 
 Speech, Voice, and Hearing Disorders 
 Spoken Language Translation, Information Retrieval, Summarization 
 Speaker and Language Identification 
 Technologies and Systems for New Applications 
 Speech and Audio Signal Analysis 
 Resources and Evaluation 
 Speech Coding and Enhancement"
ICIP,60.0,B,B,A1,15-Feb,,,,,International Conference on Image Processing,"Sensing, Representation, Modeling, and Registration 
 Motion Estimation, Registration, and Fusion 
 Synthesis, Rendering, and Visualization 
 Deep Learning for Images and Videos 
 Computational Imaging 
 Learning with Limited Labels 
 Restoration and Enhancement 
 Image & Video Interpretation and Understanding 
 Compression, Coding, and Transmission 
 Detection, Recognition, Retrieval, and Classification 
 Color, Multi-spectral, and Hyper-spectral Imaging 
 Biometrics, Forensics, and Security 
 Stereoscopic, Multi-view, and 3D Processing 
 Biomedical and Biological Image Processing 
 Image & Video Quality Models 
 Emerging Applications and Systems"
ICRA,116.0,B,,A1,16-Sep,,,,,International Conference on Robotics and Automation,"Additive Manufacturing 
 Aerial Robotics 
 Agent-Based Systems 
 Agricultural Automation 
 AI Reasoning Methods 
 Assembly 
 Automation at Micro-Nano Scales 
 Automation in Life Sciences: Biotechnology, Pharmaceutical and Health Care 
 Automation Technologies for Smart Cities 
 Autonomous Agents 
 Autonomous Vehicle Navigation 
 Behaviour-Based Systems 
 Biological Cell Manipulation 
 Biologically-Inspired Robots 
 Biomimetics 
 Brain Machine Interface 
 Building Automation 
 Calibration and Identification 
 Cellular and Modular Robots 
 Climbing robots 
 Cognitive Human-Robot Interaction 
 Collision Avoidance 
 Compliance and Impedance Control 
 Compliant Assembly 
 Compliant Joint/Mechanism 
 Computational Geometry 
 Computer Vision for Automation 
 Computer Vision for Manufacturing 
 Computer Vision for Medical Robotics 
 Computer Vision for Other Robotic Applications 
 Computer Vision for Transportation 
 Contact Modelling 
 Control Architectures and Programming 
 Cooperative Manipulators 
 Demining Systems 
 Dexterous Manipulation 
 Direct/Inverse Dynamics Formulation 
 Discrete Event Dynamic Automation Systems 
 Distributed Robot Systems 
 Domestic Robots 
 Dual Arm Manipulation 
 Education Robotics 
 Energy and Environment-aware Automation 
 Factory Automation 
 Failure Detection and Recovery 
 Field Robots 
 Flexible robots 
 Force and Tactile Sensing 
 Force Control 
 Formal Methods for Robotics 
 Foundations of Automation 
 Gesture, Posture and Facial Expressions 
 Grasping 
 Grippers and Other End-Effectors 
 Haptics and Haptic Interfaces 
 Health Care Management 
 Human Detection & Tracking 
 Human Factors and Human-in-the-Loop 
 Human Performance Augmentation 
 Human-Centered Automation 
 Humanoid and Bipedal Locomotion 
 Humanoid Robots 
 Hybrid Logical/Dynamical Planning and Verification 
 Hydraulic/Pneumatic Actuators 
 Industrial Robots 
 Intelligent and Flexible Manufacturing 
 Intelligent Transportation Systems 
 Inventory management 
 Kinematics 
 Learning and Adaptive Systems 
 Localization 
 Logistics 
 Manipulation Planning 
 Manufacturing, Maintenance and Supply Chains 
 Mapping 
 Marine Robotics 
 Mechanism Design of Manipulators 
 Mechanism Design of Mobile Robots 
 Medical Robots and Systems 
 Micro/Nano Robots 
 Mining Robotics 
 Mobile Manipulation 
 Motion and Path Planning 
 Motion Control of Manipulators 
 Multifingered Hands 
 Multilegged Robots 
 Nanomanufacturing 
 Networked Robots 
 Neurorobotics 
 Nonholonomic Mechanisms and Systems 
 Nonholonomic Motion Planning 
 Novel Actuators for Natural Machine Motion 
 Object detection, segmentation, categorization 
 Omnidirectional Vision 
 Optimization and Optimal Control 
 Parallel Robots 
 Passive Walking 
 Path Planning for Multiple Mobile Robots or Agents 
 Petri Nets for Automation Control 
 Physical Human-Robot Interaction 
 Physically Assistive Devices 
 Planning, Scheduling and Coordination 
 Probability and Statistical Methods 
 Process Control 
 Product Design, Development and Prototyping 
 Prosthetics and Exoskeletons 
 Range Sensing 
 Reactive and Sensor-Based Planning 
 Recognition 
 Redundant Robots 
 Rehabilitation Robotics 
 RGB-D Perception 
 Robot Companions 
 Robot Safety 
 Robotics in Agriculture and Forestry 
 Robotics in Construction 
 Robotics in Hazardous Fields 
 Robust/Adaptive Control of Robotic Systems 
 Search and Rescue Robots 
 Semantic Scene Understanding 
 Semiconductor Manufacturing 
 Sensor-based Control 
 Sensor Fusion 
 Sensor Networks 
 Service Robots 
 Simulation and Animation 
 SLAM 
 Social Human-Robot Interaction 
 Soft Material Robotics 
 Software, Middleware and Programming Environments 
 Space Robotics 
 Surgical Robotics: Laparoscopy 
 Surgical Robotics: Planning 
 Surgical Robotics: Steerable Catheters/Needles 
 Surveillance Systems 
 Sustainable Production and Service Automation 
 Swarms 
 Telerobotics and Teleoperation 
 Tendon/Wire Mechanism 
 Underactuated Robots 
 Virtual Reality and Interfaces 
 Visual Learning 
 Visual Servoing 
 Visual Tracking 
 Visual-Based Navigation 
 Wheeled Robots"
IGARSS,41.0,C,C,B1,13-Jan,,,,,International Geoscience and Remote Sensing Symposium,"SAR Imaging and Processing Techniques 
 Along and Across 
 Differential SAR Interferometry 
 Multi-Channel DBF Imaging Techniques 
 PolSAR and PolInSAR 
 Bistatic SAR 
 Tomography 
 Sub-surface sensing 
 Data Analysis 
 Feature Extraction and Reduction 
 Image Segmentation 
 3D mapping 
 Object Detection and Recognition 
 Classification and Clustering 
 Inversion Techniques 
 Change Detection and Temporal Analysis 
 Hyperspectral Data Processing and Analysis 
 RFI Detection and Mitigation 
 Data Fusion 
 External Calibration 
 AI and Big Data 
 Data Management Systems and Computing Platforms in Remote Sensing 
 IoT in Geoscience and Remote Sensing 
 Spatio-temporal Data Harmonization 
 Data Analytics and AI Techniques in Remote Sensing 
 Modeling 
 Electromagnetic Modeling 
 EM Emission Modeling 
 EM Scattering Modeling 
 EM Polarimetric Scattering and Emission Modeling 
 EM Modeling for Signals of Opportunity (e.g. GNSS-R) 
 Cryosphere 
 Snow Cover 
 Ice Sheets and Glaciers 
 Sea Ice 
 Permafrost 
 Land Applications 
 Land Use Applications 
 Land Cover Dynamics 
 Application and Modelling 
 Biomass and Carbon Cycle 
 Agriculture 
 Urban and Built Environment 
 Topography, Geology and Geomorphology 
 Soils and Soil Moisture 
 Wetlands 
 Inland Waters 
 Geology and Geomorphology 
 Atmosphere Applications 
 Precipitation and Clouds 
 Numerical Weather Prediction and Data Assimilation 
 Atmospheric Sounding 
 Aerosols and Atmospheric Chemistry 
 Ionospheric Remote Sensing 
 Oceans 
 Ocean Biology (Color) and Water Quality 
 Ocean Surface Winds and Currents 
 Ocean Temperature and Salinity 
 Coastal Zones 
 Ocean Altimetry 
 Remote Sensing of Planetary and other Celestial Bodies 
 Moon 
 Mars 
 Other Celestial Bodies 
 Mission, Sensors and Calibration 
 Spaceborne SAR Missions 
 Spaceborne Passive Microwave Missions 
 Spaceborne GNSS-R Missions 
 Spaceborne Hyperspectral Missions 
 Spaceborne LIDAR Missions 
 Exploration Missions (other Planets) 
 New Space Missions 
 UAV and Airborne Platforms 
 Ground based Systems 
 High Altitude Platforms 
 Sensors, Instruments and Calibration 
 Sensors Using Signals of Opportunity (e.g. GNSS-R) 
 Lidar Sensors 
 Passive Optical Multi- and Hyperspectral Sensors and Calibration 
 SAR Instrument 
 Advanced Future Instrument Concepts 
 Microwave Radiometer Calibration 
 SAR and Radar Instrument Calibration 
 Microwave Radiometer Instruments 
 Ground Penetrating Radar 
 Onboard Signal Processing 
 Scatterometer, Clouds and Rain Radar 
 Education and Policy 
 Data Management and Systems 
 Remote Sensing Data and Policy Decisions 
 Education and Remote Sensing 
 Societal Engagement and Impacts 
 Citizen and Open Science 
 Risk and Disaster Management (Extreme Weather, Earthquakes, Volcanoes, etc) 
 Food security 
 Remote Sensing for Sustainable Development 
 Standardization in Remote Sensing 
 Remote Sensing for Climate Change Impacts"
ISIT,58.0,B,B,B1,22-Jan,,,,,International Symposium on Information Theory,"Big Data Analytics 
 Coding for Communication and Storage 
 Coding Theory 
 Combinatorics and Information Theory 
 Communication Theory 
 Complexity and Computation Theory 
 Compressed Sensing and Sparsity 
 Cryptography and Security 
 Deep Learning for Communication Networks 
 Distributed Storage 
 Emerging Applications of Information Theory 
 Information Theory and Statistics 
 Information Theory in Biology 
 Information Theory in Computer Science 
 Network Coding and Applications 
 Network Data Analysis 
 Network Information Theory 
 Pattern Recognition and Machine Learning 
 Quantum Information and Coding Theory 
 Shannon Theory 
 Signal Processing 
 Source and Channel Modeling 
 Source Coding and Data Compression 
 Wireless Communication and Networks"
BRAIN,,,,,28-Nov,,,,,Workshop on Blockchain Theory and Applications,"Blockchain Fundamentals 
 Distributed consensus Algorithms 
 Permissioned vs permissionless paradigms 
 Scalability issues 
 P2P communication protocols 
 Inter-ledger protocols 
 Smart contracts automatic verification 
 layer-2 payment protocols, lightning networks 
 legal Aspect (smart contract, utility and security tokens, ICO, ...) 
 Blockchain for pervasive computing 
 System engineering with IoT and blockchain 
 Digital identity Management on blockchain 
 Distributed supply chains 
 Blockchain-based mobile edge computing systems 
 Blockchain for Medicine and Healthcare 
 Blockchain for trustworthiness in 5G and 6G Networks 
 Blockchain for peer-to-peer energy management 
 Blockchain-enabled distributed social platforms 
 Blockchain-based access control 
 Smart Contracts and dApp software engineering aspects 
 Cryptocurrencies"
AIES,44.0,,,,1-Mar,,,,,"Artificial Intelligence, Ethics, and Society","Cultural, political, and other societal impacts of AI 
 AI and surveillance/manipulation of people 
 Impact of AI on jobs and work 
 Meaningful control, safety, and security of AI 
 AI and geopolitics 
 AI and vulnerable groups 
 When, why and how to ban, restrict, cost and tax AI 
 Ethical models/frameworks around AI and data 
 AI and environmental costs and impacts 
 AI and labor, AI and markets 
 Value alignment and moral decision making 
 Trustworthy AI systems 
 Black box systems and modes of investigation and explanation, interpretable AI 
 Ethically-aligned design 
 Challenges and contradictions in AI-related design, development and ethics 
 AI and the public interest, AI for social good 
 Infrastructures of AI 
 AI and law, regulation and governance 
 AI and literature, performance, counter-culture, resistance 
 New/novel AI-related concepts 
 Speculative future AI design and implications 
 Highly advanced / human-level AI and implications 
 Innovative methodologies for studying/analyzing AI 
 Developments in AI concepts, definitions, schools of thought"
CCS,98.0,A*,A,A1,14-Jan,,,,,Conference on Computer and Communications Security,"Software Security 
 Web Security 
 Network Security 
 Formal Methods and Programming Languages 
 Hardware, Side Channels, and CyberPhysical Systems 
 Applied Cryptography 
 Machine Learning and Security 
 Security Usability and Measurement 
 Blockchain and Distributed Systems 
 Privacy and Anonymity"
DSN,34.0,A,A,A1,7-Dec,,,,,International Conference on Dependable Systems and Networks,"Hardware (e.g., microprocessors, memory systems, systems on chip, I/O devices, storage systems,Trusted Execution Environments (TEEs), edge and mobile devices, data center infrastructure, hardware accelerators, emerging technologies, emerging paradigms like processing in memory & quantum computing) 
 Software (e.g., applications, middleware, distributed algorithms, operating systems, software security, dependable software design) 
 Networked systems and clouds (e.g., wireless networks, mobility, software-defined networking, edge computing, cloud computing/storage, networks on chip, network security) 
 Autonomous systems (e.g., self-driving vehicles, autonomous robots, assured autonomy, explainable decision making, acceptability, privacy issues) 
 Cyber-physical systems (e.g., embedded systems, real-time control of critical systems, internet of things, smart grid, automotive, aerospace, railway, medical systems) 
 Distributed ledgers/Blockchain (e.g., BFT/consensus algorithms, cryptocurrencies, decentralized storage, zero knowledge proofs) 
 AI/Machine Learning for resilient systems (e.g., robust, resilient, secure, and explainable AI/Machine Learning techniques; applications of AI/ML techniques for dependability and security, robustness issues in ML/AI systems) 
 Models and methodologies for programming, evaluating, verifying, and assessing robust (dependable and secure) systems (e.g., performance and dependability evaluation, analytical and numerical methods, simulation, experimentation, benchmarking, verification, field data analysis) 
 Emerging technologies and computing paradigms (e.g., robustness, security, dependability issues of emerging memory and storage systems, emerging computing paradigms like quantum computing, processing in memory/sensors/storage/network, 3-dimensional architectures, new hardware/software cooperative paradigms, emerging programming and system paradigms)"
PPoPP,30.0,A,A,A2,17-Aug,,,,,Principles and Practice of Parallel Programming,"Compilers and runtime systems for parallel and heterogeneous systems 
 Concurrent data structures 
 Development, analysis, or management tools 
 Fault tolerance for parallel systems 
 Formal analysis and verification 
 High-performance / scientific computing 
 Libraries 
 Middleware for parallel systems 
 Parallel algorithms 
 Parallel applications and frameworks 
 Parallel programming for deep memory hierarchies including nonvolatile memory 
 Parallel programming languages 
 Parallel programming theory and models 
 Parallelism in non-scientific workloads: web, search, analytics, cloud, machine learning 
 Performance analysis, debugging and optimization 
 Programming tools for parallel and heterogeneous systems 
 Software engineering for parallel programs 
 Software for heterogeneous architectures 
 Software productivity for parallel programming 
 Synchronization and concurrency control"
EuroSys,48.0,A,A,A2,18-May,,,,,European Conference on Computer Systems,"Operating systems 
 Distributed systems 
 Cloud computing and datacenter systems 
 File and storage systems 
 Networked systems 
 Language support and runtime systems 
 Systems security and privacy 
 Dependable systems 
 Analysis, testing and veri?cation of systems 
 Database systems and data analytics frameworks 
 Virtualization and virtualized systems 
 Systems for machine learning/machine learning for systems 
 Mobile and pervasive systems 
 Parallelism, concurrency, and multicore systems 
 Real-time, embedded, and cyber-physical systems 
 Systems for emerging hardware"
SAC,30.0,B,B,A1,15-Oct,,,,,Symposium On Applied Computing,"Applications of Evolutionary Computation 
 Artificial Intelligence for Education 
 Cloud Computing 
 Computer Networking 
 Computer Security 
 Critical Infrastructures 
 Cyber-physical Systems 
 Data Mining 
 Data Streams 
 Databases and Big Data Management 
 Decentralized Applications with Blockchain, DLT, and Crypto-Currencies 
 Dependable, Adaptive, and Secure Distributed Systems 
 Embedded System 
 Geographical Information Analytics 
 Graph Models for Learning and Recognition 
 Health Informatics and Bioinformatics 
 Information Access and Retrieval 
 Intelligent Robotics and Multi-Agent Systems 
 Intelligent Systems for Digital Era 
 Interoperability 
 IoT and Edge Computing 
 Knowledge and Natural Language Processing 
 Knowledge Representation and Reasoning 
 Lean and Agile Software Development 
 Machine Learning and Its Applications 
 Mobile Computing and Applications 
 Operating Systems 
 Privacy by Design in Practice 
 Programming Languages 
 Requirements Engineering 
 Selected Area of Wireless Communications and Networking 
 Semantic Web and Applications 
 Social Network and Media Analysis 
 Software Architecture: Theory, Technology, and Applications 
 Software Engineering 
 Software Platforms 
 Software Veriification and Testing 
 Web Engineering"
DAPPS,,,,,26-Feb,,,,,International Conference on Decentralized Applications and Infrastructures,"Distributed Ledger Technologies (DLTs) 
 Smart contract theory 
 Languages and tools for (secure) dApps 
 Infrastructures for dApps 
 Communication protocols and standards for dApps 
 Software engineering for dApps and smart contracts verification 
 Decentralized identity 
 Identity management for dApps 
 Token economy 
 Off-Chain/Layer 2 dApps 
 Decentralized Finance (DeFi) 
 Non-fungible tokens (NFTs) 
 Cryptographic primitives for applications 
 Analytics for on-chain and off-chain data 
 Governance structure and mechanisms 
 Interoperability for dApps, Blockchains, and DLTs 
 Privacy of dApps 
 Security of dApps 
 Scalability, sharding, and performance of blockchain systems 
 Policy/laws surrounding dApps and cryptocurrencies 
 Applications in emerging domains 
 Other emerging research topics"
ICPP,23.0,A,A,A2,14-Apr,,,,,International Conference on Parallel Processing,"Parallel and Distributed Algorithms 
 Parallel and Distributed Combinatorial & Numerical Methods 
 Scheduling Algorithms for Parallel and Distributed Applications and Platforms 
 Algorithmic Innovations for Parallel and Distributed Machine Learning. 
 Parallel and Distributed Applications 
 Scalable Data Analytics & Applied Machine Learning 
 Computational and Data-Driven Science & Engineering (e.g. 
 Astrophysics 
 Computational Chemistry 
 Bioinformatics 
 Climate Science 
 Finance 
 Geology). 
 Micro-Architecture for Parallel Computing 
 Parallel Computer Architecture and Accelerator Designs 
 LArge-Scale System Architectures 
 Datacenter/Warehouse Computing Architecture 
 Machine Learning Architectures 
 Architectural Support for Networking 
 New Memory Technologies 
 Near-Memory Computing 
 Parallel I/O 
 Architectures for Edge Computing 
 Architectural Support for Reliability and Security. 
 Innovation combining multiple disciplines 
 Cross-Cutting Research (e.g. 
 Complex Work?ows Combining Data Analytics and/or AI/ML with Traditional Simulations) 
 Use of Known Algorithms in Novel/Emerging Applications 
 Methodologies for Performance Portability and/or Productivity across Architectures. 
 Performance Modeling of Parallel or Distributed Computing 
 Performance Evaluation of Parallel or Distributed Systems; Scalability 
 Simulation Models 
 Analytical Models 
 Measurement-Based Evaluation. 
 Systems Software 
 Middleware 
 Runtime Systems 
 Parallel and Distributed Programming Languages & Models 
 Programming Systems 
 Compilers 
 Libraries 
 Programming Infrastructures and Tools 
 Operating and Real-Time Systems."
SIGMETRICS/A,40.0,A*,A,A1,9-Aug,,,,,ACM SIGMETRICS / IFIP Performance,"Computer and communication networks, protocols and algorithms 
 Wireless, mobile, ad-hoc and sensor networks, quantum networks, IoT applications, and blockchain networks 
 Computer architectures, hardware accelerators, multi-core processors, memory systems and storage networks 
 High Performance Computing 
 Operating systems, file systems and databases 
 Virtualization, data centers, distributed and cloud computing, fog and edge computing 
 Mobile and personal computing systems 
 Energy-efficient computing systems 
 Real-time and fault-tolerant systems 
 Security and privacy of computing and networked systems 
 Software systems and services, and enterprise applications 
 Social networks, metaverse, multimedia systems, Web services 
 Cyber-physical systems, including the smart grid 
 Analytical modeling techniques and model validation 
 Workload characterization and benchmarking 
 Performance, scalability, power and reliability analysis 
 Sustainability analysis and power management 
 System measurement, performance monitoring and forecasting 
 Anomaly detection, problem diagnosis and troubleshooting 
 Capacity planning, resource allocation, run time management and scheduling 
 Experimental design, statistical analysis, simulation 
 Game theory, network economics, and platform design 
 Machine learning, AI, Big data, data mining, graph analysis, optimization 
 Quantum computing"
SIGMETRICS/B,40.0,A*,A,A1,11-Oct,,,,,ACM SIGMETRICS / IFIP Performance,"Computer and communication networks, protocols and algorithms 
 Wireless, mobile, ad-hoc and sensor networks, quantum networks, IoT applications, and blockchain networks 
 Computer architectures, hardware accelerators, multi-core processors, memory systems and storage networks 
 High Performance Computing 
 Operating systems, file systems and databases 
 Virtualization, data centers, distributed and cloud computing, fog and edge computing 
 Mobile and personal computing systems 
 Energy-efficient computing systems 
 Real-time and fault-tolerant systems 
 Security and privacy of computing and networked systems 
 Software systems and services, and enterprise applications 
 Social networks, metaverse, multimedia systems, Web services 
 Cyber-physical systems, including the smart grid 
 Analytical modeling techniques and model validation 
 Workload characterization and benchmarking 
 Performance, scalability, power and reliability analysis 
 Sustainability analysis and power management 
 System measurement, performance monitoring and forecasting 
 Anomaly detection, problem diagnosis and troubleshooting 
 Capacity planning, resource allocation, run time management and scheduling 
 Experimental design, statistical analysis, simulation 
 Game theory, network economics, and platform design 
 Machine learning, AI, Big data, data mining, graph analysis, optimization 
 Quantum computing"
SIGMETRICS/C,40.0,A*,A,A1,31-Jan,,,,,ACM SIGMETRICS / IFIP Performance,"Computer and communication networks, protocols and algorithms 
 Wireless, mobile, ad-hoc and sensor networks, quantum networks, IoT applications, and blockchain networks 
 Computer architectures, hardware accelerators, multi-core processors, memory systems and storage networks 
 High Performance Computing 
 Operating systems, file systems and databases 
 Virtualization, data centers, distributed and cloud computing, fog and edge computing 
 Mobile and personal computing systems 
 Energy-efficient computing systems 
 Real-time and fault-tolerant systems 
 Security and privacy of computing and networked systems 
 Software systems and services, and enterprise applications 
 Social networks, metaverse, multimedia systems, Web services 
 Cyber-physical systems, including the smart grid 
 Analytical modeling techniques and model validation 
 Workload characterization and benchmarking 
 Performance, scalability, power and reliability analysis 
 Sustainability analysis and power management 
 System measurement, performance monitoring and forecasting 
 Anomaly detection, problem diagnosis and troubleshooting 
 Capacity planning, resource allocation, run time management and scheduling 
 Experimental design, statistical analysis, simulation 
 Game theory, network economics, and platform design 
 Machine learning, AI, Big data, data mining, graph analysis, optimization 
 Quantum computing"
NSDI (Spring),60.0,B,B,A1,27-Apr,,,,,USENIX Symposium on Networked Systems Design and Implementation,"Highly available and reliable networked systems 
 Security and privacy of networked systems 
 Distributed storage, caching, and query processing systems 
 Sustainable, low-energy, and low-carbon networked systems 
 Cloud/multi-tenant systems 
 Mobile and embedded/sensor applications and systems 
 Systems aspects of networking hardware and physical layer communication technologies 
 Network and workload measurement systems 
 Self-organizing, autonomous, and federated networked systems 
 Managing, debugging, and diagnosing problems in networked systems 
 Virtualization and resource management for networked systems 
 Experience with deployed networked systems 
 Networked systems for big data 
 Testing and/or verification applied to networked systems 
 Networked systems for machine learning (ML) and ML for networked systems"
